frequency_MHz,psd_dB
935.1992,-59.07
935.2002,-59.07
935.2012,-59.07
935.2021,-59.00
935.2031,-58.93
935.2041,-58.85
935.2051,-58.77
935.2061,-58.83
935.2070,-58.89
935.2080,-59.00
935.2090,-59.10
935.2100,-59.16
935.2109,-59.22
935.2119,-59.19
935.2129,-59.16
935.2139,-58.98
935.2148,-58.79
935.2158,-58.77
935.2168,-58.75
935.2178,-58.75
935.2188,-58.75
935.2197,-58.74
935.2207,-58.74
935.2217,-58.58
935.2227,-58.42
935.2236,-58.54
935.2246,-58.65
935.2256,-58.83
935.2266,-59.01
935.2275,-58.86
935.2285,-58.71
935.2295,-58.40
935.2305,-58.08
935.2314,-58.04
935.2324,-58.00
935.2334,-58.07
935.2344,-58.14
935.2354,-58.24
935.2363,-58.33
935.2373,-58.37
935.2383,-58.41
935.2393,-58.53
935.2402,-58.65
935.2412,-58.72
935.2422,-58.79
935.2432,-58.76
935.2441,-58.74
935.2451,-58.71
935.2461,-58.67
935.2471,-58.69
935.2480,-58.71
935.2490,-58.73
935.2500,-58.75
935.2510,-58.78
935.2520,-58.82
935.2529,-58.82
935.2539,-58.82
935.2549,-58.89
935.2559,-58.97
935.2568,-59.04
935.2578,-59.11
935.2588,-59.04
935.2598,-58.96
935.2607,-58.79
935.2617,-58.61
935.2627,-58.57
935.2637,-58.54
935.2646,-58.65
935.2656,-58.76
935.2666,-58.81
935.2676,-58.85
935.2686,-58.75
935.2695,-58.65
935.2705,-58.51
935.2715,-58.37
935.2725,-58.51
935.2734,-58.65
935.2744,-58.62
935.2754,-58.58
935.2764,-58.28
935.2773,-57.98
935.2783,-57.89
935.2793,-57.80
935.2803,-58.06
935.2812,-58.33
935.2822,-58.53
935.2832,-58.73
935.2842,-58.84
935.2852,-58.95
935.2861,-58.99
935.2871,-59.02
935.2881,-58.94
935.2891,-58.86
935.2900,-58.71
935.2910,-58.55
935.2920,-58.59
935.2930,-58.62
935.2939,-58.63
935.2949,-58.65
935.2959,-58.81
935.2969,-58.97
935.2979,-58.99
935.2988,-59.00
935.2998,-59.00
935.3008,-59.00
935.3018,-58.93
935.3027,-58.85
935.3037,-58.85
935.3047,-58.85
935.3057,-58.78
935.3066,-58.72
935.3076,-58.61
935.3086,-58.51
935.3096,-58.46
935.3105,-58.40
935.3115,-58.57
935.3125,-58.74
935.3135,-58.87
935.3145,-59.00
935.3154,-58.89
935.3164,-58.79
935.3174,-58.47
935.3184,-58.15
935.3193,-58.15
935.3203,-58.15
935.3213,-58.14
935.3223,-58.12
935.3232,-58.14
935.3242,-58.16
935.3252,-57.98
935.3262,-57.81
935.3271,-58.01
935.3281,-58.21
935.3291,-58.45
935.3301,-58.69
935.3311,-58.75
935.3320,-58.81
935.3330,-58.77
935.3340,-58.74
935.3350,-58.68
935.3359,-58.63
935.3369,-58.54
935.3379,-58.44
935.3389,-58.46
935.3398,-58.47
935.3408,-58.50
935.3418,-58.52
935.3428,-58.64
935.3438,-58.77
935.3447,-58.84
935.3457,-58.92
935.3467,-58.84
935.3477,-58.77
935.3486,-58.64
935.3496,-58.52
935.3506,-58.46
935.3516,-58.40
935.3525,-58.41
935.3535,-58.43
935.3545,-58.46
935.3555,-58.49
935.3564,-58.44
935.3574,-58.39
935.3584,-58.45
935.3594,-58.50
935.3604,-58.60
935.3613,-58.71
935.3623,-58.56
935.3633,-58.41
935.3643,-58.14
935.3652,-57.88
935.3662,-57.67
935.3672,-57.46
935.3682,-57.66
935.3691,-57.86
935.3701,-58.01
935.3711,-58.17
935.3721,-58.26
935.3730,-58.35
935.3740,-58.42
935.3750,-58.49
935.3760,-58.61
935.3770,-58.74
935.3779,-58.76
935.3789,-58.78
935.3799,-58.64
935.3809,-58.49
935.3818,-58.40
935.3828,-58.30
935.3838,-58.31
935.3848,-58.32
935.3857,-58.39
935.3867,-58.45
935.3877,-58.56
935.3887,-58.68
935.3896,-58.65
935.3906,-58.63
935.3916,-58.66
935.3926,-58.68
935.3936,-58.65
935.3945,-58.61
935.3955,-58.50
935.3965,-58.38
935.3975,-58.30
935.3984,-58.23
935.3994,-58.31
935.4004,-58.39
935.4014,-58.51
935.4023,-58.62
935.4033,-58.68
935.4043,-58.75
935.4053,-58.67
935.4062,-58.60
935.4072,-58.59
935.4082,-58.58
935.4092,-58.46
935.4102,-58.34
935.4111,-58.20
935.4121,-58.05
935.4131,-57.75
935.4141,-57.45
935.4150,-57.64
935.4160,-57.82
935.4170,-58.11
935.4180,-58.40
935.4189,-58.52
935.4199,-58.65
935.4209,-58.69
935.4219,-58.74
935.4229,-58.70
935.4238,-58.66
935.4248,-58.65
935.4258,-58.65
935.4268,-58.59
935.4277,-58.54
935.4287,-58.45
935.4297,-58.36
935.4307,-58.34
935.4316,-58.32
935.4326,-58.38
935.4336,-58.44
935.4346,-58.65
935.4355,-58.85
935.4365,-58.87
935.4375,-58.88
935.4385,-58.78
935.4395,-58.68
935.4404,-58.59
935.4414,-58.51
935.4424,-58.46
935.4434,-58.40
935.4443,-58.39
935.4453,-58.38
935.4463,-58.42
935.4473,-58.46
935.4482,-58.65
935.4492,-58.84
935.4502,-58.81
935.4512,-58.78
935.4521,-58.58
935.4531,-58.38
935.4541,-58.22
935.4551,-58.06
935.4561,-58.01
935.4570,-57.97
935.4580,-57.98
935.4590,-58.00
935.4600,-57.93
935.4609,-57.86
935.4619,-57.80
935.4629,-57.74
935.4639,-58.19
935.4648,-58.65
935.4658,-58.72
935.4668,-58.79
935.4678,-58.75
935.4688,-58.70
935.4697,-58.58
935.4707,-58.46
935.4717,-58.39
935.4727,-58.33
935.4736,-58.39
935.4746,-58.44
935.4756,-58.48
935.4766,-58.51
935.4775,-58.54
935.4785,-58.56
935.4795,-58.54
935.4805,-58.51
935.4814,-58.55
935.4824,-58.59
935.4834,-58.59
935.4844,-58.60
935.4854,-58.48
935.4863,-58.37
935.4873,-58.33
935.4883,-58.29
935.4893,-58.34
935.4902,-58.39
935.4912,-58.52
935.4922,-58.65
935.4932,-58.61
935.4941,-58.56
935.4951,-58.62
935.4961,-58.67
935.4971,-58.65
935.4980,-58.64
935.4990,-58.54
935.5000,-58.43
935.5010,-58.26
935.5020,-58.09
935.5029,-58.08
935.5039,-58.07
935.5049,-58.22
935.5059,-58.37
935.5068,-58.43
935.5078,-58.49
935.5088,-58.31
935.5098,-58.14
935.5107,-58.31
935.5117,-58.47
935.5127,-58.57
935.5137,-58.66
935.5146,-58.55
935.5156,-58.43
935.5166,-58.29
935.5176,-58.15
935.5186,-58.14
935.5195,-58.13
935.5205,-58.28
935.5215,-58.43
935.5225,-58.51
935.5234,-58.60
935.5244,-58.66
935.5254,-58.73
935.5264,-58.72
935.5273,-58.72
935.5283,-58.57
935.5293,-58.43
935.5303,-58.44
935.5312,-58.44
935.5322,-58.33
935.5332,-58.21
935.5342,-58.23
935.5352,-58.25
935.5361,-58.36
935.5371,-58.48
935.5381,-58.52
935.5391,-58.55
935.5400,-58.60
935.5410,-58.64
935.5420,-58.52
935.5430,-58.39
935.5439,-58.34
935.5449,-58.29
