time_s,rtt_ms
0.000,9.000
0.201,9.000
0.400,11.000
0.600,9.000
0.800,9.000
1.000,3.000
1.200,13.000
1.400,10.000
1.601,11.000
1.800,13.000
2.000,11.000
2.200,10.000
2.400,16.000
2.601,9.000
2.801,9.000
3.000,10.000
3.200,10.000
3.400,10.000
3.600,5.000
3.800,8.000
4.000,8.000
4.200,9.000
4.400,13.000
4.600,10.000
4.800,10.000
5.000,13.000
5.200,13.000
5.400,14.000
5.600,9.000
5.801,12.000
6.000,10.000
6.200,10.000
6.400,13.000
6.600,10.000
6.800,10.000
7.000,10.000
7.200,10.000
7.400,10.000
7.600,10.000
7.800,3.000
8.000,6.000
8.200,10.000
8.401,10.000
8.601,10.000
8.801,11.000
9.000,3.000
9.200,3.000
9.401,2.000
9.600,2.000
9.801,2.000
10.001,2.000
10.200,10.000
10.400,12.000
10.601,12.000
10.800,11.000
11.001,1.000
11.200,10.000
11.400,14.000
11.600,11.000
11.800,11.000
12.000,3.000
12.200,4.000
12.400,6.000
12.600,11.000
12.800,10.000
13.000,12.000
13.201,10.000
13.400,10.000
13.600,10.000
13.800,12.000
14.000,11.000
14.200,11.000
14.400,2.000
14.600,9.000
14.800,2.000
15.000,11.000
15.200,11.000
15.400,13.000
15.601,9.000
15.800,10.000
16.001,14.000
16.201,11.000
16.400,6.000
16.600,4.000
16.800,6.000
17.001,10.000
17.200,11.000
17.400,10.000
17.600,10.000
17.800,10.000
18.000,10.000
18.200,10.000
18.400,10.000
18.600,10.000
18.800,10.000
19.001,10.000
19.201,12.000
19.400,9.000
19.601,10.000
19.800,10.000
20.000,10.000
20.200,10.000
20.400,4.000
20.601,4.000
20.800,4.000
21.001,7.000
21.201,10.000
21.400,10.000
21.600,10.000
21.800,10.000
22.000,10.000
22.200,13.000
22.400,10.000
22.601,10.000
22.800,10.000
23.000,10.000
23.200,11.000
23.400,10.000
23.601,10.000
23.803,10.000
24.001,3.000
24.200,9.000
24.400,10.000
24.601,10.000
24.800,10.000
25.001,17.000
25.201,20.000
25.401,3.000
25.600,2.000
25.800,2.000
26.000,5.000
26.200,9.000
26.400,3.000
26.600,10.000
26.800,10.000
27.000,10.000
27.201,10.000
27.400,11.000
27.600,14.000
27.800,10.000
28.000,13.000
28.200,15.000
28.400,10.000
28.600,10.000
28.800,10.000
29.000,10.000
29.200,5.000
29.400,5.000
29.600,12.000
29.801,10.000
