time_s,rtt_ms
0.000,9.000
0.200,8.000
0.400,21.000
0.600,3.000
0.801,8.000
1.001,10.000
1.200,10.000
1.400,10.000
1.600,10.000
1.800,5.000
2.000,1.000
2.200,9.000
2.400,10.000
2.600,9.000
2.800,11.000
3.000,1.000
3.200,1.000
3.400,11.000
3.600,5.000
3.800,4.000
4.000,6.000
4.201,9.000
4.401,10.000
4.600,13.000
4.800,8.000
5.000,8.000
5.201,10.000
5.400,29.000
5.600,12.000
5.800,20.000
6.000,25.000
6.200,14.000
6.401,10.000
6.602,13.000
6.801,14.000
7.000,11.000
7.201,11.000
7.400,9.000
7.600,13.000
7.800,13.000
8.000,10.000
8.200,16.000
8.400,16.000
8.600,21.000
8.800,16.000
9.001,24.000
9.200,14.000
9.400,9.000
9.600,14.000
9.800,11.000
10.000,15.000
10.200,17.000
10.401,11.000
10.601,14.000
10.800,12.000
11.001,24.000
11.201,11.000
11.400,10.000
11.600,9.000
11.800,11.000
12.000,10.000
12.200,19.000
12.400,10.000
12.601,9.000
12.800,10.000
13.001,10.000
13.200,11.000
13.401,5.000
13.600,9.000
13.800,10.000
14.000,11.000
14.200,21.000
14.400,12.000
14.600,25.000
14.800,13.000
15.001,10.000
15.201,19.000
15.400,28.000
15.600,21.000
15.800,25.000
16.001,58.000
16.200,17.000
16.400,20.000
16.600,90.000
16.800,20.000
17.001,16.000
17.201,25.000
17.400,97.000
17.600,36.000
17.800,38.000
18.000,45.000
18.200,9.000
18.400,3.000
18.600,85.000
18.801,23.000
19.001,4.000
19.200,11.000
19.401,
20.139,11.000
20.167,1.000
20.182,2.000
20.200,2.000
20.400,5.000
20.600,35.000
20.800,16.000
21.002,13.000
21.200,13.000
21.400,1.000
21.601,2.000
21.800,2.000
22.000,7.000
22.200,18.000
22.400,2.000
22.601,17.000
22.800,13.000
23.001,13.000
23.201,3.000
23.400,5.000
23.600,12.000
23.801,14.000
24.001,13.000
24.201,14.000
24.401,14.000
24.600,5.000
24.801,2.000
25.000,5.000
25.200,13.000
25.400,9.000
25.600,5.000
25.800,14.000
26.000,7.000
26.200,1.000
26.400,9.000
26.601,13.000
26.800,13.000
27.000,14.000
27.201,13.000
27.400,1.000
27.600,13.000
27.800,9.000
28.000,12.000
28.201,13.000
28.400,13.000
28.600,14.000
28.800,18.000
29.000,16.000
29.201,12.000
29.401,2.000
29.600,12.000
29.800,13.000
