time_s,rtt_ms
0.000,37.000
0.200,
1.002,56.000
1.084,2.000
1.102,2.000
1.115,3.000
1.200,8.000
1.400,11.000
1.600,15.000
1.800,10.000
2.001,149.000
2.201,2.000
2.400,11.000
2.601,10.000
2.800,10.000
3.001,12.000
3.200,6.000
3.400,5.000
3.600,
4.497,5.000
4.516,2.000
4.530,2.000
4.543,3.000
4.600,2.000
4.800,7.000
5.001,5.000
5.200,13.000
5.400,13.000
5.600,28.000
5.800,7.000
6.000,6.000
6.200,5.000
6.401,6.000
6.600,13.000
6.800,12.000
7.001,14.000
7.200,12.000
7.400,12.000
7.600,15.000
7.800,14.000
8.001,14.000
8.200,5.000
8.400,6.000
8.600,12.000
8.800,5.000
9.000,14.000
9.201,4.000
9.400,5.000
9.600,10.000
9.800,10.000
10.001,16.000
10.200,11.000
10.401,10.000
10.600,10.000
10.800,1.000
11.000,10.000
11.200,10.000
11.400,12.000
11.600,10.000
11.800,10.000
12.002,10.000
12.200,9.000
12.400,10.000
12.600,10.000
12.800,9.000
13.000,10.000
13.201,7.000
13.400,4.000
13.600,10.000
13.801,10.000
14.001,10.000
14.200,10.000
14.400,11.000
14.600,10.000
14.800,10.000
15.001,10.000
15.200,9.000
15.400,10.000
15.600,10.000
15.801,1.000
16.001,1.000
16.201,13.000
16.400,3.000
16.600,4.000
16.802,2.000
17.001,2.000
17.200,23.000
17.400,6.000
17.600,5.000
17.800,16.000
18.001,14.000
18.200,10.000
18.400,10.000
18.600,10.000
18.800,10.000
19.000,7.000
19.200,40.000
19.400,9.000
19.600,47.000
19.801,11.000
20.001,3.000
20.201,9.000
20.400,19.000
20.600,23.000
20.800,5.000
21.000,23.000
21.200,4.000
21.400,7.000
21.601,3.000
21.800,6.000
22.000,12.000
22.200,11.000
22.400,20.000
22.600,13.000
22.801,11.000
23.001,11.000
23.201,17.000
23.400,14.000
23.601,34.000
23.801,25.000
24.001,15.000
24.200,12.000
24.401,16.000
24.600,15.000
24.801,13.000
25.000,11.000
25.200,19.000
25.400,25.000
25.600,16.000
25.801,9.000
26.000,9.000
26.200,7.000
26.400,10.000
26.600,10.000
26.801,13.000
27.000,13.000
27.200,8.000
27.400,5.000
27.601,16.000
27.800,5.000
28.000,12.000
28.200,8.000
28.400,41.000
28.601,
29.495,28.000
29.541,5.000
29.565,
