time_s,rtt_ms
0.000,13.000
0.200,9.000
0.400,13.000
0.600,13.000
0.800,13.000
1.000,14.000
1.200,123.000
1.400,3.000
1.601,6.000
1.800,7.000
2.000,2.000
2.200,6.000
2.400,10.000
2.600,15.000
2.800,15.000
3.000,9.000
3.200,12.000
3.400,21.000
3.600,14.000
3.800,11.000
4.001,14.000
4.200,14.000
4.400,12.000
4.600,14.000
4.800,12.000
5.001,15.000
5.200,70.000
5.400,10.000
5.600,15.000
5.800,12.000
6.001,2.000
6.200,80.000
6.400,19.000
6.601,23.000
6.800,13.000
7.000,12.000
7.200,13.000
7.400,11.000
7.600,13.000
7.800,15.000
8.001,18.000
8.201,10.000
8.401,1.000
8.601,10.000
8.801,13.000
9.001,11.000
9.201,10.000
9.401,13.000
9.600,9.000
9.800,5.000
10.000,8.000
10.201,15.000
10.401,21.000
10.600,12.000
10.800,15.000
11.000,47.000
11.201,14.000
11.400,13.000
11.600,15.000
11.801,13.000
12.000,21.000
12.200,13.000
12.400,9.000
12.600,14.000
12.801,13.000
13.000,13.000
13.200,17.000
13.400,13.000
13.600,15.000
13.800,14.000
14.000,14.000
14.200,7.000
14.400,10.000
14.600,15.000
14.800,16.000
15.000,14.000
15.200,14.000
15.400,5.000
15.601,16.000
15.800,10.000
16.001,12.000
16.201,14.000
16.400,13.000
16.601,11.000
16.800,13.000
17.000,13.000
17.201,3.000
17.400,2.000
17.600,2.000
17.800,4.000
18.001,2.000
18.200,7.000
18.400,6.000
18.601,8.000
18.800,9.000
19.000,11.000
19.201,10.000
19.400,2.000
19.600,14.000
19.800,14.000
20.000,12.000
20.200,2.000
20.400,13.000
20.600,15.000
20.801,13.000
21.000,12.000
21.200,2.000
21.400,2.000
21.600,4.000
21.801,1.000
22.000,2.000
22.200,13.000
22.401,11.000
22.600,4.000
22.801,8.000
23.000,11.000
23.200,10.000
23.400,11.000
23.600,10.000
23.800,10.000
24.000,12.000
24.200,12.000
24.400,13.000
24.600,12.000
24.800,13.000
25.000,14.000
25.200,9.000
25.400,9.000
25.600,1.000
25.801,9.000
26.000,31.000
26.200,1.000
26.400,9.000
26.600,9.000
26.801,3.000
27.000,3.000
27.200,5.000
27.401,12.000
27.601,9.000
27.800,9.000
28.001,9.000
28.200,9.000
28.400,10.000
28.600,11.000
28.800,15.000
29.000,9.000
29.200,9.000
29.401,11.000
29.600,9.000
29.800,11.000
