time_s,rtt_ms
0.000,4.000
0.200,9.000
0.400,1.000
0.600,10.000
0.801,9.000
1.001,43.000
1.200,15.000
1.400,9.000
1.601,10.000
1.801,2.000
2.000,23.000
2.201,11.000
2.401,6.000
2.600,10.000
2.800,15.000
3.000,25.000
3.200,21.000
3.400,10.000
3.600,11.000
3.800,15.000
4.001,16.000
4.201,19.000
4.401,14.000
4.600,12.000
4.800,10.000
5.001,10.000
5.200,9.000
5.400,9.000
5.600,9.000
5.800,9.000
6.001,3.000
6.200,9.000
6.400,3.000
6.601,3.000
6.800,6.000
7.000,2.000
7.200,25.000
7.400,4.000
7.600,2.000
7.801,3.000
8.000,2.000
8.200,9.000
8.400,9.000
8.600,6.000
8.800,1.000
9.000,9.000
9.200,9.000
9.401,9.000
9.600,9.000
9.800,9.000
10.000,9.000
10.201,11.000
10.400,9.000
10.601,6.000
10.800,5.000
11.001,
11.824,39.000
11.900,3.000
11.918,2.000
11.933,3.000
12.000,31.000
12.201,479.000
12.705,161.000
12.882,3.000
12.904,2.000
13.001,150.000
13.200,21.000
13.400,38.000
13.601,101.000
13.800,39.000
14.001,3.000
14.200,3.000
14.400,12.000
14.600,13.000
14.800,6.000
15.000,12.000
15.200,10.000
15.400,9.000
15.600,20.000
15.800,20.000
16.000,23.000
16.200,31.000
16.401,39.000
16.600,45.000
16.801,9.000
17.001,55.000
17.200,14.000
17.400,13.000
17.600,13.000
17.801,6.000
18.000,13.000
18.200,12.000
18.401,10.000
18.601,5.000
18.801,5.000
19.001,44.000
19.200,24.000
19.401,9.000
19.601,22.000
19.801,14.000
20.000,12.000
20.200,12.000
20.401,3.000
20.601,12.000
20.800,23.000
21.000,13.000
21.200,12.000
21.401,17.000
21.600,12.000
21.801,13.000
22.000,13.000
22.200,12.000
22.400,14.000
22.600,12.000
22.800,112.000
23.001,114.000
23.201,2.000
23.401,6.000
23.600,7.000
23.800,5.000
24.000,6.000
24.200,15.000
24.400,11.000
24.600,17.000
24.800,13.000
25.000,11.000
25.200,19.000
25.400,21.000
25.600,17.000
25.800,12.000
26.000,18.000
26.200,
26.805,18.000
26.839,4.000
26.859,8.000
27.001,20.000
27.200,3.000
27.401,56.000
27.600,24.000
27.800,10.000
28.000,16.000
28.201,13.000
28.400,13.000
28.600,12.000
28.800,12.000
29.000,16.000
29.201,15.000
29.401,15.000
29.601,13.000
29.800,15.000
