time_s,rtt_ms
0.000,9.000
0.200,9.000
0.400,1.000
0.600,8.000
0.801,8.000
1.000,17.000
1.200,50.000
1.401,15.000
1.600,10.000
1.801,35.000
2.000,15.000
2.201,10.000
2.401,9.000
2.601,5.000
2.800,7.000
3.000,8.000
3.200,9.000
3.400,5.000
3.600,3.000
3.800,3.000
4.001,11.000
4.200,6.000
4.400,10.000
4.600,16.000
4.800,19.000
5.000,14.000
5.200,21.000
5.400,10.000
5.601,19.000
5.800,31.000
6.000,13.000
6.200,16.000
6.400,12.000
6.600,4.000
6.800,8.000
7.001,15.000
7.201,11.000
7.400,9.000
7.600,13.000
7.800,31.000
8.000,25.000
8.201,14.000
8.401,30.000
8.600,16.000
8.800,93.000
9.001,14.000
9.200,14.000
9.400,12.000
9.601,13.000
9.800,22.000
10.000,30.000
10.200,14.000
10.401,12.000
10.600,6.000
10.801,15.000
11.000,25.000
11.200,17.000
11.400,25.000
11.600,30.000
11.800,11.000
12.000,22.000
12.201,109.000
12.400,7.000
12.600,59.000
12.801,62.000
13.001,9.000
13.200,24.000
13.400,28.000
13.601,71.000
13.801,197.000
14.015,4.000
14.200,12.000
14.400,48.000
14.600,79.000
14.800,80.000
15.000,74.000
15.200,33.000
15.400,39.000
15.601,334.000
15.955,193.000
16.167,96.000
16.291,19.000
16.400,8.000
16.601,23.000
16.800,7.000
17.001,18.000
17.200,25.000
17.400,42.000
17.601,80.000
17.801,44.000
18.000,54.000
18.200,27.000
18.401,11.000
18.601,10.000
18.800,12.000
19.000,35.000
19.200,4.000
19.401,4.000
19.600,6.000
19.800,5.000
20.000,10.000
20.200,7.000
20.401,4.000
20.600,22.000
20.800,13.000
21.001,14.000
21.201,33.000
21.400,12.000
21.600,16.000
21.800,12.000
22.000,16.000
22.201,11.000
22.401,15.000
22.601,20.000
22.800,2.000
23.000,8.000
23.200,2.000
23.401,2.000
23.600,7.000
23.800,5.000
24.000,29.000
24.200,127.000
24.400,3.000
24.600,18.000
24.800,27.000
25.000,21.000
25.201,13.000
25.400,12.000
25.601,14.000
25.800,11.000
26.000,13.000
26.201,13.000
26.400,15.000
26.600,11.000
26.801,14.000
27.001,13.000
27.200,17.000
27.401,223.000
27.645,16.000
27.800,12.000
28.001,11.000
28.200,12.000
28.402,3.000
28.600,10.000
28.800,47.000
29.000,15.000
29.200,14.000
29.401,13.000
29.601,11.000
29.800,20.000
