frequency_MHz,psd_dB
2402.9922,-42.79
2403.0020,-42.56
2403.0117,-42.33
2403.0215,-41.75
2403.0312,-41.18
2403.0410,-40.11
2403.0508,-39.03
2403.0605,-38.13
2403.0703,-37.23
2403.0801,-36.38
2403.0898,-35.53
2403.0996,-34.85
2403.1094,-34.16
2403.1191,-33.60
2403.1289,-33.04
2403.1387,-32.51
2403.1484,-31.97
2403.1582,-31.49
2403.1680,-31.01
2403.1777,-30.77
2403.1875,-30.54
2403.1973,-30.41
2403.2070,-30.28
2403.2168,-30.25
2403.2266,-30.22
2403.2363,-30.29
2403.2461,-30.36
2403.2559,-30.45
2403.2656,-30.53
2403.2754,-30.77
2403.2852,-31.01
2403.2949,-31.16
2403.3047,-31.31
2403.3145,-31.35
2403.3242,-31.38
2403.3340,-31.40
2403.3438,-31.42
2403.3535,-31.49
2403.3633,-31.56
2403.3730,-31.41
2403.3828,-31.27
2403.3926,-30.96
2403.4023,-30.65
2403.4121,-30.31
2403.4219,-29.96
2403.4316,-29.45
2403.4414,-28.93
2403.4512,-28.58
2403.4609,-28.24
2403.4707,-28.07
2403.4805,-27.90
2403.4902,-27.55
2403.5000,-27.20
2403.5098,-26.99
2403.5195,-26.79
2403.5293,-26.68
2403.5391,-26.57
2403.5488,-26.55
2403.5586,-26.54
2403.5684,-26.70
2403.5781,-26.87
2403.5879,-27.01
2403.5977,-27.15
2403.6074,-27.21
2403.6172,-27.26
2403.6270,-27.51
2403.6367,-27.75
2403.6465,-27.92
2403.6562,-28.08
2403.6660,-28.38
2403.6758,-28.68
2403.6855,-28.76
2403.6953,-28.84
2403.7051,-28.67
2403.7148,-28.49
2403.7246,-28.20
2403.7344,-27.92
2403.7441,-27.66
2403.7539,-27.41
2403.7637,-27.20
2403.7734,-27.00
2403.7832,-26.56
2403.7930,-26.13
2403.8027,-25.91
2403.8125,-25.69
2403.8223,-25.47
2403.8320,-25.24
2403.8418,-25.12
2403.8516,-25.01
2403.8613,-25.01
2403.8711,-25.00
2403.8809,-24.89
2403.8906,-24.77
2403.9004,-24.87
2403.9102,-24.96
2403.9199,-25.20
2403.9297,-25.45
2403.9395,-25.80
2403.9492,-26.16
2403.9590,-26.44
2403.9688,-26.73
2403.9785,-26.96
2403.9883,-27.19
2403.9980,-27.20
2404.0078,-27.22
2404.0176,-27.21
2404.0273,-27.20
2404.0371,-27.13
2404.0469,-27.06
2404.0566,-26.80
2404.0664,-26.54
2404.0762,-26.31
2404.0859,-26.08
2404.0957,-25.87
2404.1055,-25.66
2404.1152,-25.50
2404.1250,-25.34
2404.1348,-25.25
2404.1445,-25.16
2404.1543,-24.99
2404.1641,-24.83
2404.1738,-24.72
2404.1836,-24.61
2404.1934,-24.59
2404.2031,-24.57
2404.2129,-24.74
2404.2227,-24.92
2404.2324,-25.09
2404.2422,-25.25
2404.2520,-25.41
2404.2617,-25.57
2404.2715,-25.84
2404.2812,-26.12
2404.2910,-26.37
2404.3008,-26.63
2404.3105,-26.96
2404.3203,-27.30
2404.3301,-27.35
2404.3398,-27.40
2404.3496,-27.52
2404.3594,-27.65
2404.3691,-27.55
2404.3789,-27.45
2404.3887,-27.20
